Client ID,Station_Name,Date,Lat,Long,TDP,TDP_flags,TP ,TP_flags,SRP,SRP_flags,NH3,NH3_flags,Nox,Nox_flags,TN,TN_flags,TSS,TSS_flags,DOC,DOC_flags,POC,POC_flags,Silica
321,Firelane 26,8/14/2018,42.823804,-76.533361,24.5,,42.7,,16.1,,29,"F13,F16,",3480,"F2,",3700,,24.4,,3.5,"F15,F23,",0.1667,,9.1
166,Dutch Hollow,8/28/2018,42.86423,-76.507918,2.9,"F15,F16,",11.7,,1.6,"F16,",12,"F16,F26,",850,"F26,",1220,,2.8,,2.8,"F15,F23,",0.2,,2.6
801,Inlet at Mouth,8/28/2018,42.754942,-76.463351,16.4,"F13,F15,",36.1,,12,,52,,793,,1280,,2.4,"F16,",4.1,"F15,F23,",0.4,,0.2
174,Veness Brook,8/28/2018,42.887364,-76.54882,25.6,"F15,",36.6,,13.2,,34,,41,,915,,2.4,"F16,",8.8,"F15,F29,",0.32,,3.13
101,Sucker Brook,8/28/2018,42.901229,-76.527212,51.1,"F13,F15,",73.6,"F2,",39.7,,36,,265,,899,,0.9,"F22,",6.2,"F15,F23,",0.25,,8.59
303,Martins Point,8/28/2018,42.892722,-76.521832,10.4,"F15,",16.8,,5.2,,39,,240,,760,,2.6,"F16,",5.5,"F15,F29,",0.34,,4.83
321,Firelane 26,8/28/2018,42.823804,-76.533361,23.3,"F13,F15,",26.6,,16.8,,14,"F16,F26,",3700,"F2,F26,",4090,,6.3,,2.5,"F15,F23,",0.12,,9.92
166,Dutch Hollow,9/11/2018,42.86423,-76.507918,35.3,,76.5,"F2,",26.9,,30,,1720,"F2,",1920,,6.5,"F13,",5,"F15,F29,",,,6.71
801,Inlet at Mouth,9/11/2018,42.754942,-76.463351,26.4,,50.4,"F2,",17.4,,42,,996,"F2,",1500,,12.5,"F13,",5.6,"F15,",,,7.07
174,Veness Brook,9/11/2018,42.887364,-76.54882,73.4,"F2,",135,"F2,",59.2,"F2,",18,"F16,",1020,"F2,",1950,,28.4,"F13,",10.4,"F15,F29,",,,7.86
101,Sucker Brook,9/11/2018,42.901229,-76.527212,32.2,,44.7,"F2,",19.4,,35,,317,,925,,4.2,"F13,",,,,,6.79
303,Martins Point,9/11/2018,42.892722,-76.521832,22.7,,32.8,,14.8,,16,"F16,",443,,1250,,3.3,"F13,",,,,,9.03
321,Firelane 26,9/11/2018,42.823804,-76.533361,17.8,,22.5,,0.3,"F22,",12,"F16,",4120,"F2,",4310,,4.9,"F13,",2.9,"F15,",,,8.37
166,Dutch Hollow,10/9/2018,42.86423,-76.507918,12.7,"F13,",19.6,"F13,",8.2,,23,"F13,F16,F26,",2130,"F2,",2340,,3.3,,3.3,,,,5.89
801,Inlet at Mouth,10/9/2018,42.754942,-76.463351,18.7,,27.9,"F13,",12.4,,298,,1270,"F2,",1600,,4.4,,4,,,,6.81
174,Veness Brook,10/9/2018,42.887364,-76.54882,22.4,,32.9,"F13,",14.1,,5,"F22,",5000,"F2,",5850,"F2,",5.6,,6.4,,,,7.59
101,Sucker Brook,10/9/2018,42.901229,-76.527212,26.8,"F13,",33.2,"F13,",16,,5,"F22,",1190,"F2,",1940,,3.4,,12,,,,8.57
303,Martins Point,10/9/2018,42.892722,-76.521832,19.8,,17.3,"F13,",10.2,,17,"F13,F16,",277,,1050,,0.4,"F22,",12.3,,,,9.34
321,Firelane 26,10/9/2018,42.823804,-76.533361,11.4,,16.6,"F13,",11.3,,5,"F22,",5070,"F2,",4810,"F2,",1.4,"F22,",2.5,"F23,",,,9.08
166,Dutch Hollow,10/23/2018,42.86423,-76.507918,7.3,,8.8,,2.3,,89,"F13,",1690,"F2,",1970,,1.6,"F16,",2.7,,,,5.43
801,Inlet at Mouth,10/23/2018,42.754942,-76.463351,11.1,,15.9,,5.9,,91,"F13,",1280,"F2,",1560,,1.5,"F16,",3.1,,,,5.89
174,Veness Brook,10/23/2018,42.887364,-76.54882,13.8,,22.8,,7.6,,126,"F13,",2440,"F2,",2900,,1.2,"F16,",4.5,,,,5.89
101,Sucker Brook,10/23/2018,42.901229,-76.527212,11.9,,15.7,,4.2,,99,"F13,",618,,1320,,0.5,"F22,",10.4,,,,6.31
303,Martins Point,10/23/2018,42.892722,-76.521832,13.7,,31.3,,4.8,,90,"F13,",198,,945,,0.4,"F22,",11.6,,,,8.61
321,Firelane 26,10/23/2018,42.823804,-76.533361,10.7,,22,,7.3,,118,"F13,",5990,"F2,",6070,"F2,",1.4,"F22,",1.9,,,,7.52
