CHS_EVENT_SMAS_HISTORY_ID,CHS_EVENT_SMAS_SAMPLE_DATE,CHR_PCODE,CHR_RESULT_VALUE,CHR_LAB_QUAL,CHR_VALIDATED_YN,CHR_VALIDATION_DATE,CHR_VALIDATOR_QUAL,CHR_VALIDATOR_QUAL_EXPLN,CHR_METHOD_DETECT_LIMIT,CHR_REPORTING_DETECT_LIMIT,CHR_QUANTITATION_LIMIT,CHR_DETECTION_LIMIT_UNIT,CHR_LAB_VALIDATION_LEVEL,CHR_RESULT_COMMENT,CHS_SAMPLE_SOURCE,CHS_PARENT_SAMPLE_CDE,CHS_SAMPLE_DEL_GRP_EQUIS,CHS_SAMPLER,CHS_SAMPLING_COMPANY_CODE,CHS_COMMENT,CHEM_PARAMETER_NAME,CHEM_PARAMETER_UNIT,CHEM_PARAMETER_UNIT_NOSP,CHEM_PARAMETER_FRACTION,CHEM_PARAMETER_SOURCE,CHEM_PARAMETER_NOTES,high_flow_flag,year
O7-SCKR-0.1,6/6/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017157001,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T2-0.1,7/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017186046,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T46-0.1,7/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017186054,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T5-0.2,7/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017186055,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWLI-0.1,7/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017186053,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-VENE-0.4,7/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017186056,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-DUCH-0.3,7/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017186047,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-SCKR-0.1,7/5/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017186045,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T2-0.1,7/28/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017209002,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T46-0.1,7/28/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017209010,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T5-0.2,7/28/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017209011,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWLI-0.1,7/28/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017209009,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-VENE-0.4,7/28/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017209012,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-DUCH-0.3,7/28/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017209003,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-SCKR-0.1,7/28/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017209001,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T2-0.1,10/30/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017303007,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-VENE-0.4,10/30/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017303001,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
O7-DUCH-0.3,10/30/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017303012,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
O7-SCKR-0.1,10/30/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017303004,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2017
07-OWAL_T16-0.4,11/15/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017319010,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T5-0.2,11/15/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017319013,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T9-0.1,11/15/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017319011,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWLI-0.1,11/15/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017319012,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-VENE-0.4,11/15/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017319014,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-DUCH-0.3,11/15/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017319009,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-SCKR-0.1,11/15/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017319008,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T16-0.4,12/1/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017335004,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T5-0.2,12/1/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017335006,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T9-0.1,12/1/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017335003,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWLI-0.1,12/1/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017335005,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-VENE-0.4,12/1/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017335007,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-DUCH-0.3,12/1/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017335002,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
O7-SCKR-0.1,12/1/2017,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2017335001,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2017
07-OWAL_T2-0.1,5/23/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018143005,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
07-OWAL_T46-0.1,7/5/2018,22,1.9,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018186018,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,7/5/2018,22,4.5,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018186016,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-VENE-0.4,7/5/2018,22,8.4,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018186017,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-DUCH-0.3,7/5/2018,22,3.1,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018186015,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,7/25/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018206077,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
07-VENE-0.4,7/25/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018206078,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
O7-DUCH-0.3,7/25/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018206076,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
O7-SCKR-0.1,7/25/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018206079,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
07-OWAL_T2-0.1,7/31/2018,22,4.2,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018212100,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWAL_T46-0.1,7/31/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018212097,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,7/31/2018,22,3.6,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018212096,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-VENE-0.4,7/31/2018,22,7.7,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018212098,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-DUCH-0.3,7/31/2018,22,3,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018212095,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-SCKR-0.1,7/31/2018,22,7.6,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018212099,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,8/14/2018,22,7.2,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018226031,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWAL_T2-0.1,8/17/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018229084,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWAL_T2-0.1,9/11/2018,22,,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018254082,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWAL_T46-0.1,9/11/2018,22,2.9,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018254083,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,9/11/2018,22,5.6,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018254079,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-SCKR-0.1,9/11/2018,22,7.3,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018254084,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWAL_T2-0.1,10/9/2018,22,12.3,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018282011,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,10/9/2018,22,4,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018282008,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-VENE-0.4,10/9/2018,22,6.4,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018282009,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-DUCH-0.3,10/9/2018,22,3.3,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018282013,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-SCKR-0.1,10/9/2018,22,12,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018282010,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWAL_T2-0.1,10/23/2018,22,11.6,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018296009,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWAL_T46-0.1,10/23/2018,22,1.9,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018296010,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,10/23/2018,22,3.1,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018296006,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-VENE-0.4,10/23/2018,22,4.5,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018296007,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-DUCH-0.3,10/23/2018,22,2.7,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018296011,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
O7-SCKR-0.1,10/23/2018,22,10.4,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018296008,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,2018
07-OWLI-0.1,10/29/2018,22,4.3,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018303008,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
07-VENE-0.4,10/29/2018,22,6.8,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018303009,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
O7-DUCH-0.3,10/29/2018,22,3.9,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018303007,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
O7-SCKR-0.1,10/29/2018,22,10.8,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018303010,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
07-OWLI-0.1,11/2/2018,22,0.6,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018306003,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
07-VENE-0.4,11/2/2018,22,6.8,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018306004,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
O7-DUCH-0.3,11/2/2018,22,3.9,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018306002,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
O7-SCKR-0.1,11/2/2018,22,9,0,Y,10/22/2021,A,,0.3,NA,0.9,mg/L,,,,,,UFI,UFI,2018306005,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,yes,2018
07-OWAL_T2-0.1,4/5/2017,101,0.103,0,Y,10/22/2021,T,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017095006,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWAL_T46-0.1,4/5/2017,101,5.529,0,Y,10/22/2021,T,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017095017,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWAL_T5-0.2,4/5/2017,101,0.903,0,Y,10/22/2021,T,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017095016,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWLI-0.1,4/5/2017,101,1.017,0,Y,10/22/2021,T,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017095018,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
07-VENE-0.4,4/5/2017,101,1.137,0,Y,10/22/2021,T,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017095015,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-DUCH-0.3,4/5/2017,101,1.352,0,Y,10/22/2021,T,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017095007,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-SCKR-0.1,4/5/2017,101,0.357,0,Y,10/22/2021,T,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017095005,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWLI-0.1,5/2/2017,101,0.684,0,Y,10/22/2021,A,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017122004,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
07-VENE-0.4,5/2/2017,101,0.891,0,Y,10/22/2021,A,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017122003,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-DUCH-0.3,5/2/2017,101,1.213,0,Y,10/22/2021,A,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017122001,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
O7-SCKR-0.1,5/2/2017,101,0.772,0,Y,10/22/2021,A,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017122002,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,yes,2017
07-OWAL_T2-0.1,7/5/2017,101,0.173,0,Y,10/22/2021,A,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017186046,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T46-0.1,7/5/2017,101,5.728,0,Y,10/22/2021,A,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017186054,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,,2017
07-OWAL_T5-0.2,7/5/2017,101,1.135,0,Y,10/22/2021,A,,0.007,NA,0.029,mg/L,,,,,,UFI,UFI,2017186055,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,,2017
