"site_id","sample_date","sample_type","sample_matrix","parameter_name","parameter_fraction","result_value","parameter_unit","sample_comment","analytical_method","analysis_date","test_type","laboratory","lab_qualifier_source","lab_qualifier","validated","validation_date","validator_qualifier","validator_qualifier_explanation","method_detection_limit","reporting_limit","quantitation_limit","detection_limit_unit","result_lab_comment"
"07-OWLI-3.0","8/22/2007, 9:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0296,"mg/L","","E365.1","8/22/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","8/22/2007, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0487,"mg/L","","E365.1","8/22/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","7/18/2007, 9:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0172,"mg/L","","E365.1","7/18/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","7/18/2007, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0379,"mg/L","","E365.1","7/18/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","6/18/2007, 10:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0296,"mg/L","","E365.1","6/18/2007, 10:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","6/18/2007, 10:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.053,"mg/L","","E365.1","6/18/2007, 10:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","5/31/2007, 9:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",0.0169,"mg/L","","E365.1","5/31/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","5/31/2007, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0613,"mg/L","","E365.1","5/31/2007, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWLI-3.0","5/3/2007, 10:00 AM","LAB","WS","PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)","DISSOLVED",NA,"mg/L","","E365.1","5/3/2007, 10:00 AM","initial","CASROCH","AE","U","N","","0","",0.002,NA,NA,"mg/l",""
"07-OWLI-3.0","5/3/2007, 10:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0198,"mg/L","","E365.1","5/3/2007, 10:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWAS-2.5","11/13/2002, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.11,"mg/L","","E365.1","11/13/2002, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWAS-2.5","10/2/2002, 11:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0534,"mg/L","","E365.1","10/2/2002, 11:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWAS-2.5","8/21/2002, 9:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.0743,"mg/L","","E365.1","8/21/2002, 9:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWAS-2.5","6/17/2002, 3:00 PM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.079,"mg/L","","E365.1","6/17/2002, 3:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
"07-OWAS-2.5","5/6/2002, 11:00 AM","LAB","WS","PHOSPHORUS, TOTAL","TOTAL",0.029,"mg/L","","E365.1","5/6/2002, 11:00 AM","initial","CASROCH","AE","0","N","","0","",NA,NA,NA,"",""
