UFI Lab ID,Client ID,Field ,System Name,Station ,Sampling ,Sampling ,Receive,Receive,Comments,TP,flags,TDP ,flags,SRP,flags,Analysis,NOx,flags,tNH3,flags,TN,flags,TSS,flags
220520001-002,OWLA 101,,Owasco Tributaries,Sucker Brook,5/20/2022,9:15,5/20/2022,13:57,,27.5,,20.4,,8.7,,5/20/2022,254.9,,37.1,F16,890,,1.4,F16
220520001-003,OWLA 158,,Owasco Tributaries,Owasco Inlet/Walpole Rd.,5/20/2022,11:10,5/20/2022,13:57,,26,,17,,10.4,,5/20/2022,925.1,,18.8,F16,1208,,3.9,
220520001-004,OWLA 200,,Owasco Tributaries,Owasco inlet/St. Rt. 90,5/20/2022,11:50,5/20/2022,13:57,,13.2,,8.1,,2.1,,5/20/2022,925,,29.2,F16,1121,,3.5,
220520001-005,OWLA 213,,Owasco Tributaries,Owasco Inlet/W. Cayuga St.,5/20/2022,12:05,5/20/2022,13:57,,9.4,,7.9,,2,,5/20/2022,1112.2,,<LOD,F22,1374,,2.3,F16
220520001-006,OWLA 101,,Owasco Tributaries,Long Point,5/20/2022,10:20,5/20/2022,13:57,,11.1,,11.1,,5.3,,5/20/2022,2018.2,,<LOD,F22,2055,,15.8,
220520001-007,OWLA 166,B,Owasco Tributaries,Field Dup,5/20/2022,9:40,5/20/2022,13:57,,13.1,,9.6,,3.8,,5/20/2022,977.7,,23.7,F16,1351,"F26, F27",9.7,
220520001-008,Field Blank,,Owasco Tributaries,Field Blank,5/20/2022,9:05,5/20/2022,13:57,,<LOD,F22,1.7,F16,<LOD,F22,5/20/2022,<LOD,F22,<LOD,F22,86,F16,<LOD,F22
220601004-001,OWLA 166,A,Owasco Tributaries,Dutch Hollow,6/1/2022,9:47,6/1/2022,16:39,,22.2,,13.4,,7.2,,6/2/2022,820.4,,47.8,,1221,,6.2,
220601004-002,OWLA 101,,Owasco Tributaries,Sucker Brook,6/1/2022,8:43,6/1/2022,16:39,,54,,41.9,,26.8,,6/2/2022,405.5,,46.4,,1126,,4.4,
220601004-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,6/1/2022,11:49,6/1/2022,16:39,,40.5,,30,,21.6,,6/2/2022,795.3,,75.2,,1168,,3.9,
220601004-004,OWLA 274,,Owasco Tributaries,Veness Brook,6/1/2022,12:34,6/1/2022,16:39,,119.4,,45.6,,29.9,,6/2/2022,790.8,,120.9,,1486,,80.2,
220601004-005,OWLA 200,,Owasco Tributaries,State Rt. 90,6/1/2022,11:23,6/1/2022,16:39,,34.6,,17.4,,12.7,,6/2/2022,851.9,"F26, F27",80.7,"F26, F27",1175,,13.3,
220601004-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,6/1/2022,10:57,6/1/2022,16:39,,21.6,,11.2,,6.7,,6/2/2022,1216.6,,51.9,F13,1597,,6.1,
220601004-007,OWLA 290,,Owasco Tributaries,Long Point,6/1/2022,10:17,6/1/2022,16:39,,18.8,,16.7,,14.2,,6/2/2022,1901.5,,58.3,,2255,,4.4,
220601004-008,OWLA 166,B,Owasco Tributaries,Field Duplicate,6/1/2022,9:47,6/1/2022,16:39,,22.2,,14.4,,7.5,,6/2/2022,820.1,,62.7,,1331,,18.9,
220601004-009,Field Blank,,Owasco Tributaries,Field Blank,6/1/2022,9:00,6/1/2022,16:39,,<lod,F22,<lod,F22,<lod,F22,6/2/2022,<lod,F22,50.2,,51.913,F16,<lod,F22
220616007-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,6/16/2022,10:01,6/16/2022,14:10,cooling 9.6oC,387.9,,63.7,,46.3,,6/17/2022,3653.4,,118,,4439,,597,
220616007-002,OWLA 101,,Owasco Tributaries,Sucker Brook,6/16/2022,9:00,6/16/2022,14:10,cooling 9.6oC,627.8,,268,,210.2,,6/17/2022,1874.3,,139.8,,2468,,259,
220616007-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,6/16/2022,12:23,6/16/2022,14:10,cooling 9.6oC,325.8,,299.1,,235,,6/17/2022,789.7,,474.5,,1588,,21,
220616007-004,OWLA 274,,Owasco Tributaries,Veness Brook,6/16/2022,13:45,6/16/2022,14:10,cooling 9.6oC,101.7,,38.3,,26,,6/17/2022,3612.5,,<LOD,F22,5363,,34,
220616007-005,OWLA 200,,Owasco Tributaries,State Rt. 90,6/16/2022,11:48,6/16/2022,14:10,cooling 9.6oC,82.9,,25.7,,20.2,,6/17/2022,1083.5,,<LOD,F22,1455,,81,
220616007-006,OWLA 213,A,Owasco Tributaries,West Cayuga St.,6/16/2022,12:50,6/16/2022,14:10,cooling 9.6oC,105.1,,25.2,,13.7,,6/17/2022,963.6,,<LOD,F22,1283,,82,
220616007-007,OWLA 290,,Owasco Tributaries,Long Point,6/16/2022,10:45,6/16/2022,14:10,cooling 9.6oC,105,,51.4,,37.7,,6/17/2022,5415.4,,<LOD,F22,6018,,36,
220616007-008,OWLA 166,B,Owasco Tributaries,Field Duplicate,6/16/2022,12:45,6/16/2022,14:10,cooling 9.6oC,100,,31.8,,19.5,,6/17/2022,970,,<LOD,F22,1294,,56,
220616007-009,Field Blank,,Owasco Tributaries,Field Blank,6/16/2022,9:00,6/16/2022,14:10,cooling 9.6oC,1.2,F16,1.6,F16,<LOD,F22,6/17/2022,<LOD,F22,<LOD,F22,<LOD,F22,<LOD,F22
220711001-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,7/11/2022,9:50,7/11/2022,15:55,,11.6,,9,,4.1,,7/12/2022,350.9,,20.9,F16,696,,<LOD,F22
220711001-002,OWLA 101,,Owasco Tributaries,Sucker Brook,7/11/2022,8:45,7/11/2022,15:55,,49.7,,37.7,,24.8,,7/12/2022,155,,58,,889,,2.3,F16
220711001-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,7/11/2022,11:45,7/11/2022,15:55,,46.9,,26.8,,18.4,,7/12/2022,456.5,,54.2,,842,,3,
220711001-004,OWLA 274,A,Owasco Tributaries,Veness Brook,7/11/2022,12:57,7/11/2022,15:55,,47.9,,17.3,,4.9,,7/12/2022,35.2,,43.3,,785,,12.8,
220711001-005,OWLA 200,,Owasco Tributaries,State Rt. 90,7/11/2022,11:19,7/11/2022,15:55,,27.5,,9.4,,4.2,,7/12/2022,257.7,,38.3,,567,,7.6,
220711001-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,7/11/2022,10:50,7/11/2022,15:55,,15.2,,8.9,,5.3,,7/12/2022,923.2,,129.4,,1146,,2.5,F16
220711001-007,OWLA 290,,Owasco Tributaries,Long Point,7/11/2022,10:15,7/11/2022,15:55,,16.7,,14.9,,13.6,,7/12/2022,2335.2,,144,,2423,,<LOD,F22
220711001-008,OWLA 274,B,Owasco Tributaries,Field Duplicate,7/11/2022,12:57,7/11/2022,15:55,,34.7,,17.7,,4.3,,7/12/2022,35,,66.1,,703,,7.2,
220711001-009,Field Blank,,Owasco Tributaries,Field Blank,7/11/2022,9:00,7/11/2022,15:55,,1.2,F16,1.2,F16,0.8,F16,7/12/2022,<LOD,F22,43.3,,76,,<LOD,F22
220720002-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,7/20/2022,9:35,7/20/2022,14:09,,18.3,,11.3,,4.5,,7/21/2022,213.4,,14.1,F16,588.3,,6.6,
220720002-002,OWLA 101,,Owasco Tributaries,Sucker Brook,7/20/2022,9:05,7/20/2022,14:09,,66.2,,50.6,,35,,7/21/2022,291.3,,15.1,F16,1225,,60.9,
220720002-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,7/20/2022,12:05,7/20/2022,14:09,,142.9,,101.8,,98.3,,7/21/2022,445,,31.1,,886.5,,7.1,
220720002-004,OWLA 274,,Owasco Tributaries,Veness Brook,7/20/2022,1:00,7/20/2022,14:09,,53.8,,24.7,,7.3,,7/21/2022,12.3,F16,25.3,F16,722.5,,10.4,
220720002-005,OWLA 200,,Owasco Tributaries,State Rt. 90,7/20/2022,11:20,7/20/2022,14:09,,27.4,,12,,5.8,,7/21/2022,369.9,,28.5,F16,798.6,,8,
220720002-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,7/20/2022,12:30,7/20/2022,14:09,,16.7,,10.3,,5.1,,7/21/2022,889.4,,21,F16,1210,,2.4,
220720002-007,OWLA 290,A,Owasco Tributaries,Long Point,7/20/2022,10:10,7/20/2022,14:09,,20.8,,19.6,,14.8,,7/21/2022,1669.8,,<LOD,F22,2061,,1.8,
220720002-008,OWLA 290,B,Owasco Tributaries,Field Duplicate,7/20/2022,10:20,7/20/2022,14:09,,20.5,,18.6,,14.1,,7/21/2022,1669.8,,15.9,F16,2144,,2.4,
220720002-009,Field Blank,,Owasco Tributaries,Field Blank,7/20/2022,9:00,7/20/2022,14:09,,2.6,F16,2.7,F16,0.7,F16,7/21/2022,<LOD,F22,<LOD,"F26, F22",192.3,,<LOD,F22
220803005-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,8/3/2022,9:29,8/3/2022,15:02,,13.9,,9.3,,4.8,,8/4/2022,117.3,,10.2,F16,330,,1,
220803005-002,OWLA 101,,Owasco Tributaries,Sucker Brook,8/3/2022,9:07,8/3/2022,15:02,,77.9,,60.2,,47.5,,8/4/2022,353.2,,49.1,,943,,2.7,
220803005-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,8/3/2022,10:56,8/3/2022,15:02,,185.5,,181.3,,161.4,,8/4/2022,430.1,,26.7,F16,757,,3,
220803005-004,OWLA 274,,Owasco Tributaries,Veness Brook,8/3/2022,12:05,8/3/2022,15:02,,50.8,,19.9,,3.5,,8/4/2022,<LOD,F22,23,F16,788,,4.6,
220803005-005,OWLA 200,,Owasco Tributaries,State Rt. 90,8/3/2022,10:33,8/3/2022,15:02,,27.3,,10.6,,3.9,,8/4/2022,229.4,,22,F16,459,,12.6,
220803005-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,8/3/2022,11:23,8/3/2022,15:02,,14.8,,8.5,,0.9,F16,8/4/2022,688.1,,39.3,,975,,-0.7,
220803005-007,OWLA 290,A,Owasco Tributaries,Long Point,8/3/2022,9:49,8/3/2022,15:02,,19.1,,17.7,,12.7,,8/4/2022,1365.3,,<LOD,F22,1561,,0.5,
220803005-008,OWLA 290,B,Owasco Tributaries,Field Duplicate,8/3/2022,10:00,8/3/2022,15:02,,21,,20.6,,17.1,,8/4/2022,1375.2,,16.2,F16,1540,,1.6,
220803005-009,Field Blank,,Owasco Tributaries,Field Blank,8/3/2022,8:50,8/3/2022,15:02,,3.5,F16,1.9,F16,<LOD,F22,8/4/2022,<LOD,F22,12.2,F16,<LOD,F22,<LOD,F22
220823017-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,8/23/2022,9:40,8/23/2022,15:54,,184.5,,101.2,,91.6,,8/4/2022,1381,,277.9,F22,2541,,42.6,
220823017-002,OWLA 101,,Owasco Tributaries,Sucker Brook,8/23/2022,9:00,8/23/2022,15:54,,98.7,,49.6,,32.7,,8/4/2022,444.7,,35.8,,1279,,134.8,
220823017-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,8/23/2022,11:18,8/23/2022,15:54,,85.3,,66.2,,51.2,,8/4/2022,735.3,,55,F16,1107,,8.8,
220823017-004,OWLA 274,,Owasco Tributaries,Veness Brook,8/23/2022,12:18,8/23/2022,15:54,,55.8,,37.9,,21.6,,8/4/2022,327.3,,90.8,F16,1352,,28.8,
220823017-005,OWLA 200,,Owasco Tributaries,State Rt. 90,8/23/2022,10:50,8/23/2022,15:54,,31,,22.5,,21.1,,8/4/2022,639.4,,48.4,F16,871,,30.7,
220823017-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,8/23/2022,11:50,8/23/2022,15:54,,39.5,,18.3,,11.5,F16,8/4/2022,630.6,,38,F16,810,,16.6,
220823017-007,OWLA 290,A,Owasco Tributaries,Long Point,8/23/2022,10:15,8/23/2022,15:54,,21.4,,19.9,,16.6,,8/4/2022,1368.7,,102.5,F22,1410,,2.4,
220823017-008,OWLA 166,B,Owasco Tributaries,Field Duplicate,8/23/2022,9:50,8/23/2022,15:54,,166.8,,115.7,,136.4,,8/4/2022,1368,,280.4,F22,2606,,47.6,
220823017-009,Field Blank,,Owasco Tributaries,Field Blank,8/23/2022,8:50,8/23/2022,15:54,,1.6,F16,1.3,F16,<lod,F22,8/4/2022,<lod,F22,19.4,F16,<lod,F22,0.2,F22
220908006-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,9/8/2022,10:15,9/8/2022,16:31,,109.3,,40,,28.5,,,449,,31.4,,703,,66.8,
220908006-002,OWLA 101,A,Owasco Tributaries,Sucker Brook,9/8/2022,9:20,9/8/2022,16:31,,416.6,,189.4,,175.1,,,1641,,53.7,,2197,,167.6,
220908006-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,9/8/2022,11:47,9/8/2022,16:31,,1402.8,,1430.6,,1422.2,,,520,,61.2,,821,,3.6,
220908006-004,OWLA 274,,Owasco Tributaries,Veness Brook,9/8/2022,12:48,9/8/2022,16:31,,115.4,,44.2,,28.3,,,889,,37.1,,1982,,82.4,
220908006-005,OWLA 200,,Owasco Tributaries,State Rt. 90,9/8/2022,11:20,9/8/2022,16:31,,39.5,,20.2,,13.3,,,505,,43.7,,644,,16.8,
220908006-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,9/8/2022,12:19,9/8/2022,16:31,,24.3,,16.1,,8.7,,,662,,24.6,F16,830,,4.3,
220908006-007,OWLA 290,,Owasco Tributaries,Long Point,9/8/2022,10:41,9/8/2022,16:31,,91.1,,45.7,,35.2,,,1787,,27,,1717,,51.3,
220908006-008,OWLA 101,B,Owasco Tributaries,Field Duplicate,9/8/2022,9:35,9/8/2022,16:31,,418.4,,169.2,,168.9,,,1472,,38,,2077,,164.4,
220908006-009,Field Blank,,Owasco Tributaries,Field Blank,9/8/2022,8:45,9/8/2022,16:31,,7.7,,2.7,,1.6107,,,<lod,F22,36.9,,<lod,F22,<lod,F22
220922001-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,9/21/2022,9:35,9/21/022,16:41,,67,,34.4,,19,,,1424.4,,97.4,,1863,,11.7,
220922001-002,OWLA 101,A,Owasco Tributaries,Sucker Brook,9/21/2022,9:00,9/21/022,16:41,,86,,52.6,,33.9,,,376.7,,67.7,,1120,,14.5,
220922001-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,9/21/2022,11:00,9/21/022,16:41,,41.9,,35.2,,26.6,,,391.2,,53.3,,694.7,,1.3,F16
220922001-004,OWLA 274,,Owasco Tributaries,Veness Brook,9/21/2022,12:05,9/21/022,16:41,,74.7,,34.4,,13.3,,,635.4,,110.4,,1393,,10.2,
220922001-005,OWLA 200,,Owasco Tributaries,State Rt. 90,9/21/2022,10:35,9/21/022,16:41,,33.8,,11.6,,4.2,,,645.3,,179.5,,848.1,,16.2,
220922001-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,9/21/2022,11:30,9/21/022,16:41,,16.2,,10.6,,4.9,,,796.7,,24.5,F16,1056,,1.7,F16
220922001-007,OWLA 290,,Owasco Tributaries,Long Point,9/21/2022,9:55,9/21/022,16:41,,24.2,,18.8,,16,,,1048.6,,19.8,F16,1268,,2,
220922001-008,OWLA 101,B,Owasco Tributaries,Field Duplicate,9/21/2022,9:20,9/21/022,16:41,,89.2,,47.8,,30.6,,,368.3,,46.4,,1120,,10.3,
220922001-009,Field Blank,,Owasco Tributaries,Field Blank,9/21/2022,8:40,9/21/022,16:41,,2.1,F16,2.2,F16,0.9,F16,,10.2,F16,44.5,,<lod,F22,<lod,F22
221006001-001,OWLA 166,,Owasco Tributaries,Dutch Hollow,10/5/2022,9:33,10/5/2022,17:06,,8.1,,4.3,,1.3,F16,,274.4,,9.5,,420.7,,2.7,
221006001-002,OWLA 101,,Owasco Tributaries,Sucker Brook,10/5/2022,9:11,10/5/2022,17:06,,37.8,,12,,7.3,,,228.3,,12.1,,730.9,,14.4,
221006001-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,10/5/2022,11:11,10/5/2022,17:06,,26.6,,19.4,,15.5,,,512.8,,15.2,,653.6,,0.9,
221006001-004,OWLA 274,,Owasco Tributaries,Veness Brook,10/5/2022,12:17,10/5/2022,17:06,,59.2,,14.2,,10,,,1164,,7.2,,1376,,31.1,
221006001-005,OWLA 200,,Owasco Tributaries,State Rt. 90,10/5/2022,10:13,10/5/2022,17:06,,12,,6.4,,4.1,,,841,,21.7,,946.9,,4.9,
221006001-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,10/5/2022,11:45,10/5/2022,17:06,,8.7,,9.4,,4,,,1229,,8.4,,1283,,1.5,
221006001-007,OWLA 290,A,Owasco Tributaries,Long Point,10/5/2022,9:53,10/5/2022,17:06,,11.9,,12.1,,10.2,F23,,1637,,21.8,,1625,,5.1,
221006001-008,OWLA 290,B,Owasco Tributaries,Field Duplicate,10/5/2022,10:09,10/5/2022,17:06,,13.5,,12.7,,10.8,F23,,1619,,53.6,,1527,,,F19
221006001-009,Field Blank,,Owasco Tributaries,Field Blank,10/5/2022,8:59,10/5/2022,17:06,,<LOD,F22,1.5,F16,1.8,,,<LOD,F22,7.7,,16.1,F16,<LOD,F22
221020001-001,OWLA 166,A,Owasco Tributaries,Dutch Hollow,10/19/2022,9:17,10/19/2022,16:40,,8.9,,6.3,,<LOD,F22,10/20/2022,141.7,,54.2,,219,,<LOD,F22
221020001-002,OWLA 101,,Owasco Tributaries,Sucker Brook,10/19/2022,8:40,10/19/2022,16:40,,17.3,,12.7,,2.4,,10/20/2022,39.2,,19.3,F15,381,,1.2,F16
221020001-003,OWLA 158,,Owasco Tributaries,Owasco Inlet,10/19/2022,11:00,10/19/2022,16:40,,23.4,,13.7,,16.5,,10/20/2022,492.1,,17.6,,556,,1,F16
221020001-004,OWLA 274,,Owasco Tributaries,Veness Brook,10/19/2022,12:15,10/19/2022,16:40,,25.4,,12.7,,6.2,,10/20/2022,522,,<LOD,F22,669,,9.1,
221020001-005,OWLA 200,,Owasco Tributaries,State Rt. 90,10/19/2022,10:30,10/19/2022,16:40,,35.3,,8.8,,2,,10/20/2022,531.2,,17.2,,547,,1.4,F16
221020001-006,OWLA 213,,Owasco Tributaries,West Cayuga St.,10/19/2022,11:40,10/19/2022,16:40,,13,,9,,2.2,,10/20/2022,1054,,<LOD,F22,971,,6.2,
221020001-007,OWLA 290,,Owasco Tributaries,Long Point,10/19/2022,9:47,10/19/2022,16:40,,10.5,,11.3,,6.3,,10/20/2022,1307,,<LOD,F22,1162,,<LOD,F22
221020001-008,OWLA 166,B,Owasco Tributaries,Field Duplicate,10/19/2022,9:17,10/19/2022,16:40,,10,,5.5,,<LOD,F22,10/20/2022,117,,<LOD,F22,223,,<LOD,F22
221020001-009,Field Blank,,Owasco Tributaries,Field Blank,10/19/2022,,10/19/2022,16:40,,1.3,F16,2.3,F16,<LOD,F22,10/20/2022,<LOD,F22,<LOD,F22,<LOD,F22,<LOD,F22
